59000001,76677
50240119,32573
50001234,23456
50199958,31417
50010740,14286
50146395,25891
50161751,28035
50373748,36311
50339930,35435
50010746,14292
50160335,27511
50070999,19683
50320591,34065
50106973,21997
50085735,20545
50164598,28120
50010748,09079
50010664,06749
50172753,29519
50010751,03728
50215278,13399
50010667,01831
50160813,27562
50004315,07094
50181647,29817
50157602,25501
50092462,23544
50190771,31130
50010671,07989
50010764,16025
50010769,07066
50182564,32316
50010770,04722
50154717,26578
50379456,34608
50058378,17253
50160946,27814
50199981,30870
50210405,32698
50335996,34861
50010775,08159
50106974,21996
50213990,32648
50181639,29846
50157939,29248
50140060,25018
50114626,22877
50214127,32751
50010679,04609
50182003,29847
50139456,24952
50325565,34139
50361095,34121
50063090,27492
50199692,24422
50058381,17175
50140684,25322
50176825,29725
50014052,33487
50160850,27583
50113176,21946
50154478,05883
50155160,27525
50377343,38096
50010788,05253
50164815,28161
50130526,24263
50184648,30615
50139344,24969
50139072,24901
50172710,29518
50058722,19037
50378764,38226
50188977,32734
50158746,28460
50154003,26547
50071301,24451
50010802,10211
50149736,26387
50058026,17491
50166606,28382
50010804,12363
50010690,01107
50204345,31984
50010692,03017
50161286,28036
50176497,29685
50213736,32736
50360949,32377
50010811,06347
50010697,11110
50327230,34266
50010815,14304
50099674,21686
50210409,32411
50190959,31156
50119081,23369
50209704,32264
50116918,29287
50131411,24322
50010829,09986
50010830,14307
50092792,14287
50010708,01940
50010831,08874
50372668,36301
50106905,26242
50109475,22576
50211409,32573
50161157,28037
50161038,27803
50010713,03946
50378238,36711
50182429,20770
50010844,12551
50203516,31705
50339869,35167
50107299,22032
50148534,32787
50058025,15937
50367126,35824
50232485,08092
50010851,14312
50112771,34118
50377584,36618
50010852,04580
50379234,38086
50135755,28699
50153159,26909
50010777,03976
50362533,35479
50010861,05809
50143869,28164
50058385,17549
50010865,04385
50010866,05206
50366696,35586
50147851,26363
50058386,11189
50326933,34185
50059188,18889
50236594,33868
50010720,01501
50372667,36302
50319499,33901
50069182,25323
50105716,21975
50080855,20238
50134270,24834
50134551,24833
50181606,29854
50133535,24532
50010883,14319
50377705,32796
50226880,32820
50187226,30735
50226254,32784
50010885,06303
50116999,23071
50156527,28703
50207003,32097
50010739,11118
50188849,31406
50207989,33647
50010694,01756
50327003,34184
